"278,616;""129"";""30 เม.ย.2015 06:00"";""7.7"";""5.7"";""181.0"";""31.1"";""83.0"";""ปกติ"""
"278,735;""129"";""30 เม.ย.2015 07:00"";""7.7"";""5.7"";""181.0"";""31.2"";""86.0"";""ปกติ"""
"278,852;""129"";""30 เม.ย.2015 08:00"";""7.7"";""5.7"";""181.0"";""31.4"";""88.0"";""ปกติ"""
"278,971;""129"";""30 เม.ย.2015 09:00"";""7.7"";""5.7"";""181.0"";""31.6"";""87.0"";""ปกติ"""
"279,090;""129"";""30 เม.ย.2015 10:00"";""7.7"";""5.7"";""181.0"";""31.9"";""89.0"";""ปกติ"""
"279,209;""129"";""30 เม.ย.2015 11:00"";""7.7"";""5.7"";""180.0"";""32.3"";""89.0"";""ปกติ"""
"279,326;""129"";""30 เม.ย.2015 12:00"";""7.7"";""5.6"";""180.0"";""32.5"";""91.0"";""ปกติ"""
"279,443;""129"";""30 เม.ย.2015 13:00"";""7.7"";""5.7"";""180.0"";""32.7"";""91.0"";""ปกติ"""
"279,560;""129"";""30 เม.ย.2015 14:00"";""7.7"";""5.7"";""180.0"";""32.7"";""94.0"";""ปกติ"""
"279,678;""129"";""30 เม.ย.2015 15:00"";""7.7"";""5.7"";""180.0"";""32.8"";""96.0"";""ปกติ"""
"279,796;""129"";""30 เม.ย.2015 16:00"";""7.7"";""5.6"";""180.0"";""32.5"";""96.0"";""ปกติ"""
"279,911;""129"";""30 เม.ย.2015 17:00"";""7.7"";""5.7"";""180.0"";""32.3"";""96.0"";""ปกติ"""
"280,026;""129"";""30 เม.ย.2015 18:00"";""7.7"";""5.7"";""180.0"";""32.1"";""99.0"";""ปกติ"""
"280,141;""129"";""30 เม.ย.2015 19:00"";""7.7"";""5.8"";""180.0"";""31.9"";""98.0"";""ปกติ"""
"280,251;""129"";""30 เม.ย.2015 20:00"";""7.7"";""5.8"";""181.0"";""31.9"";""93.0"";""ปกติ"""
"280,361;""129"";""30 เม.ย.2015 21:00"";""7.7"";""5.8"";""181.0"";""31.9"";""89.0"";""ปกติ"""
"280,472;""129"";""30 เม.ย.2015 22:00"";""7.7"";""5.9"";""181.0"";""31.9"";""88.0"";""ปกติ"""
